id,user/name,full_text,favorite_count,reply_count,created_at
UgztV9t6sRHf_yHRspZ4AaABAg,Paulo Heavy Metal,"Uma aula de como se faz um filme sobre jogo,nao inventar coisas q nao tem no jogo e fazer oq OS FÃS DO JOGO querem ver.",0,0,2023-05-18T23:52:15Z
UgzNIEy0CjBm3AnzV8t4AaABAg,Romário Santos,Até os americanos preferem a dublagem brasielira ... Parabéns ao dublador brasileiro Rafael Rossato fez um ótimo trabalho !! 👏🏻👏🏻👏🏻👏🏻👏🏻❤️,0,0,2023-05-14T16:51:36Z
Ugx7yCeNJQZKZAfkPcp4AaABAg,Mello Myth,"Voltei pra comentar, ainda não atingiu 1 bilhão e obviamente estarei levando a molecada pra assistir de novo, façam o mesmo os que estão com 45, essa marca é da nossa geração, somos os responsáveis pelos celulares e novas tecnologias jamais vistas pela humanidade. Esse filme nos remete ao passado nos lembrando de como passávamos noites a fio jogando e como nos dedicamos a vida com o mesmo afinco, hoje superamos monstros e lutamos por cada fase e caso não conseguimos damos restart até conseguir. Esse filme trás exatamente os mesmos personagens e suas características melhoradas e é esse o ponto, é exatamente isso que quero ver, quero olhar e lembrar de noites mal dormidas jogando e quando acordava estava ainda com o controle na mão e o video game em pause e eu apenas continuava, Este não é o sucesso da Universal é o sucesso de uma geração,. Se todos pensassem assim o mundo seria mais divertido com melhores pessoas que trabalhariam para melhoria do todo e com isso sua melhoria individual aconteceria naturamente.",0,0,2023-05-06T17:50:52Z
UgzFw-ZXzeX6AW9fooF4AaABAg,Fernando de clipes,"<a href=""https://www.youtube.com/watch?v=wkn-Gb-Fhac&amp;t=1m28s"">1:28</a>  Depois dessa, é RIP pro Bowser, né? kkkkk",0,0,2023-05-01T16:58:52Z
UgzdF8yJIOLz7S6A_pB4AaABAg,cum and cock,Que Mario?,0,0,2023-04-29T15:51:27Z
UgwVC1x_-JHmF17ol354AaABAg,ricardo keniti,Eu vou subir um nível por ano,0,0,2023-04-28T00:51:34Z
UgzvhuciqeXvRmEK9bt4AaABAg,Ramon Meireles da Silva,Esse filme é muito divertido.,0,0,2023-04-24T18:52:57Z
Ugwour1Iu2F3KoAMjQx4AaABAg,Mello Myth,"Filmaço! Quando esses caras vão entender que não importa a historia sem graça, quero apenas assistir ao filme e ele ficou muito foda... Parabens",1,0,2023-04-20T22:17:51Z
UgyzsZx6JWP4bEzOdk14AaABAg,JR Pontual - o chofé,"Eu como um amante o jogo, achei um PECADO não ter o YOCHI no filme...<br>No jogo ele é essencial pra passar várias fases...😢<br>Vacilaram feio!",0,1,2023-04-17T17:37:06Z
Ugx_EDPiNA38v2cGjWx4AaABAg,A joaquim 𝐍𝐨𝐰 𝐥𝐨𝐚𝐝𝐢𝐧𝐠. . .,Shop,0,0,2023-04-16T23:10:45Z
UgzgAJvIldT-gYC_yWJ4AaABAg,A joaquim 𝐍𝐨𝐰 𝐥𝐨𝐚𝐝𝐢𝐧𝐠. . .,Ouvir cinema,0,0,2023-04-16T23:10:23Z
UgwovvWFJlpoQKmur6h4AaABAg,cachorro agiota,Top D+!!!!! Vou levar meus filhos pra ver!!!! Uma vida esperando por isso!!!,0,0,2023-04-14T14:43:59Z
Ugzzm42tDifKvHmV9MJ4AaABAg,Gessica Trindade,Descobri que não tem lacração.  ❤❤ quero muito ver,2,0,2023-04-13T19:36:24Z
Ugx18KusPfFYjKIhZ4x4AaABAg,Doutor my singing monsters e mais,Eu vi o filme no cinema hj gostei muito,0,0,2023-04-13T12:48:40Z
Ugwifn5wAJ0VJi4g1_N4AaABAg,Dêh di Dulce,"voltei aqui pra dizer q assisti o filme no cinema no meu aniver, com minha camiseta do Super Mario e com um sorriso enorme do inicio ao fim do filme. O único defeito dele é que ele acaba pq fiquei ate o final dos créditos querendo mais &lt;3 Obrigada Universal por esse presente de aniversário. Vale muito apena &lt;3",1,0,2023-04-12T07:28:46Z
UgxtqfgOhwyoW9mASy94AaABAg,Eduar Ortiz,🤯,0,0,2023-04-10T22:07:09Z
UgxwUSLCIpTYR6661r14AaABAg,André TryJAZZ,Já estão anunciando no filme o Mario Kart 9,0,0,2023-04-08T08:24:10Z
Ugz6_DzhniQ2E6nDzh54AaABAg,Galadus,"<a href=""https://www.youtube.com/watch?v=wkn-Gb-Fhac&amp;t=1m02s"">1:02</a> top 10 batalhas mais sangrentas dos filmes. Cuidado, cenas fortes 😔.",0,0,2023-04-07T23:40:40Z
Ugw9SfZ5LFCNWWKew_54AaABAg,Maciel Lima,O encanador mais corajoso da galáxia 😅,0,0,2023-04-07T14:56:53Z
Ugx6kw1XioegH4MhAd54AaABAg,Bheenda Monique,A dublagem Br 😍😍😍😍,0,0,2023-04-05T16:13:54Z
Ugz7ZCdb5Uho1Tt-Dqp4AaABAg,Pedro Maconhas,"<a href=""https://www.youtube.com/watch?v=wkn-Gb-Fhac&amp;t=1m30s"">1:30</a> THE ONE PIECE IS REAAAAAAALLLLLL",0,0,2023-04-05T02:16:15Z
UgwNPRd1fdz7W6OR_LJ4AaABAg,Ubisoft939,Falta 1 dia meus manos fiquem prontos ou prontas se preparem para comer uma pipoca e ver o encanador salvar o luigi,0,0,2023-04-04T21:54:34Z
UgzyNI-iO52KAcqWVFF4AaABAg,Chloe Park,"Eu cresci com eles, agora tô vendo um filme do Mario feito pela mesma empresa que fez Sing e Meu Malvado favorito, O Mundo é Louco não é???",0,0,2023-04-04T20:50:10Z
UgzMG7PY-D8gZA6zonJ4AaABAg,Moisés Christian,Quando vai lançar Madagascar 4,0,0,2023-04-02T22:07:10Z
UgyMOHbIhvRsntPJd1J4AaABAg,Thereza Ens,Gente essa trilha sonora.. a dublagem.. tudo me emocionou!,1,0,2023-03-20T16:03:21Z
UgwGaR-JVYmFQ2ZWYh94AaABAg,Lea Bianchi,Mil vez melhor que Chris Pratt!!,0,0,2023-03-14T12:13:44Z
Ugw-XH9bLzXJML_dEQV4AaABAg,Renatogdias,lança porfavor,1,0,2023-03-11T18:28:58Z
Ugzv9FuHeoRtrDMrJ2V4AaABAg,Bruna Fraga,Mesmo com 30 anos nas costas chorei Litros! Passei minha infância todinha com Mario! 😍,0,0,2023-03-11T14:47:26Z
Ugzft5xu-JyK7sveYi14AaABAg,Aldenora Silva,Dublagem magnífica cara Olha esses gráficos meu Deus eu já quero assistir o filme,0,0,2023-03-08T15:38:13Z
